| ENSMUSG00000098207 | ADP-ribosylation factor-like 14(Arl14)                                                                 | Mus musculus | 
| ENSMUSG00000042246 | transmembrane channel-like gene family 7(Tmc7)                                                         | Mus musculus | 
| ENSMUSG00000029423 | piwi-like RNA-mediated gene silencing 1(Piwil1)                                                        | Mus musculus | 
| ENSMUSG00000068079 | transcription factor 15(Tcf15)                                                                         | Mus musculus | 
| ENSMUSG00000022676 | snail family zinc finger 2(Snai2)                                                                      | Mus musculus | 
| ENSMUSG00000034361 | copine II(Cpne2)                                                                                       | Mus musculus | 
| ENSMUSG00000071064 | zinc finger protein 827(Zfp827)                                                                        | Mus musculus | 
| ENSMUSG00000041731 | phosphoglucomutase 5(Pgm5)                                                                             | Mus musculus | 
| ENSMUSG00000031376 | ATPase, Ca++ transporting, plasma membrane 3(Atp2b3)                                                   | Mus musculus | 
| ENSMUSG00000055415 | ATPase, class V, type 10B(Atp10b)                                                                      | Mus musculus | 
| ENSMUSG00000005534 | insulin receptor(Insr)                                                                                 | Mus musculus | 
| ENSMUSG00000059213 | dendrin(Ddn)                                                                                           | Mus musculus | 
| ENSMUSG00000054752 | fibronectin type III and SPRY domain containing 1-like(Fsd1l)                                          | Mus musculus | 
| ENSMUSG00000029797 | SCO-spondin(Sspo)                                                                                      | Mus musculus | 
| ENSMUSG00000032343 | interphotoreceptor matrix proteoglycan 1(Impg1)                                                        | Mus musculus | 
| ENSMUSG00000030022 | a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9(Adamts9) | Mus musculus | 
| ENSMUSG00000021301 | HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1(Hecw1)                                 | Mus musculus | 
| ENSMUSG00000039349 | RIKEN cDNA C130074G19 gene(C130074G19Rik)                                                              | Mus musculus | 
| ENSMUSG00000064065 | interaction protein for cytohesin exchange factors 1(Ipcef1)                                           | Mus musculus | 
| ENSMUSG00000004113 | calcium channel, voltage-dependent, N type, alpha 1B subunit(Cacna1b)                                  | Mus musculus | 
| ENSMUSG00000076064 | microRNA 690(Mir690)                                                                                   | Mus musculus | 
| ENSMUSG00000098065 | glyceraldehyde-3-phosphate dehydrogenase pseudogene(Gm5177)                                            | Mus musculus | 
| ENSMUSG00000037990 | SH3 domain containing ring finger 3(Sh3rf3)                                                            | Mus musculus | 
| ENSMUSG00000018845 | unc-45 myosin chaperone B(Unc45b)                                                                      | Mus musculus | 
| ENSMUSG00000031767 | nudix (nucleoside diphosphate linked moiety X)-type motif 7(Nudt7)                                     | Mus musculus | 
| ENSMUSG00000025938 | solute carrier organic anion transporter family, member 5A1(Slco5a1)                                   | Mus musculus | 
| ENSMUSG00000031028 | tubby candidate gene(Tub)                                                                              | Mus musculus | 
| ENSMUSG00000085800 | RIKEN cDNA 1700066O22 gene(1700066O22Rik)                                                              | Mus musculus | 
| ENSMUSG00000070777 | carcinoembryonic antigen-related cell adhesion molecule 20(Ceacam20)                                   | Mus musculus | 
| ENSMUSG00000099176 | microRNA 6238(Mir6238)                                                                                 | Mus musculus | 
| ENSMUSG00000055761 | Na+/K+ transporting ATPase interacting 3(Nkain3)                                                       | Mus musculus | 
| ENSMUSG00000039607 | RNA binding motif, single stranded interacting protein(Rbms3)                                          | Mus musculus | 

