"Gene_name","SYMBOL","NK92_Sur_Click_2","NK92_Tot"
"ENSG00000009694","TENM1",219.964846518117,2.02747869286674
"ENSG00000039523","RIPOR1",207.151360313178,1
"ENSG00000100031","LOC102724197",570.200136119779,7.16487215720046
"ENSG00000100031","GGT2",570.200136119779,7.16487215720046
"ENSG00000100031","GGT1",570.200136119779,7.16487215720046
"ENSG00000107736","CDH23",108.487516535149,1
"ENSG00000131871","SELENOS",5104.51414616198,48.0173653968296
"ENSG00000134438","RAX",381.181746456676,1
"ENSG00000148082","SHC3",864.23102860436,1.21355810341565
"ENSG00000154485","MMP21",3024.89727179969,4.28604953841962
"ENSG00000162105","SHANK2",1106.30334460127,1.21355810341565
"ENSG00000164855","TMEM184A",678.13593729205,1
"ENSG00000170419","VSTM2A",594.774966453951,1.4271162068313
"ENSG00000178078","STAP2",511.25809957706,2.02747869286674
"ENSG00000179965","ZNF771",362.194543392938,3.05495738573349
"ENSG00000180155","LYNX1",676.080979906317,1
"ENSG00000188859","FAM78B",606.212428791378,1
"ENSG00000196104","SPOCK3",167.429553077868,1
"ENSG00000198840","ND3",14561.4280353075,230.87864772774
"ENSG00000198899","ATP6",27828.2329176029,533.16413427512
"ENSG00000207445","SNORD15B",8014.33380436059,111.588942072911
"ENSG00000209082",NA,5581.90281592879,127.312200205597
"ENSG00000210082","RNR2",264058.615246553,32416.6979756494
"ENSG00000210151",NA,1445.78836012393,142.719482765452
"ENSG00000211459","RNR1",187187.521689677,30551.257309414
"ENSG00000213376",NA,117.884073085437,1
"ENSG00000214872","SMTNL1",162.304158595892,1
"ENSG00000222426",NA,380.086396610536,1
"ENSG00000224078",NA,1450.79991432784,9.70768011099571
"ENSG00000224078",NA,1450.79991432784,9.70768011099571
"ENSG00000224078",NA,1450.79991432784,9.70768011099571
"ENSG00000224078",NA,1450.79991432784,9.70768011099571
"ENSG00000228253","ATP8",5276.30020885577,20.2322282897664
"ENSG00000230927","TMBIM7P",542.50874983364,1
"ENSG00000235890","TSPEAR-AS1",355.988699995459,1
"ENSG00000253958","CLDN23",457.856235686467,1
"ENSG00000262899",NA,4510.631461685,7.23798225718495
"ENSG00000265028","MIR4792",650.637808607085,1
"ENSG00000270419","CAHM",3181.99130303633,1
"ENSG00000271303","SRXN1",476.477183070845,1.64067431024694
"ENSG00000272034","SNORD14A",4927.7878109889,59.8457390718752
