"","NP.ER.Son","NP.SAL.Son","NP.SAL.Ext","Tot","Tot.ER","IC.SAL.1","IC.SAL.2"
"lincRNA","1","11","9","9","3","4","4"
"macro_lncRNA","0","0","0","0","0","0","0"
"miRNA","2","22","20","2","9","2","0"
"misc_RNA","0","1","0","2","1","0","0"
"Mt_rRNA","0","0","0","0","0","0","0"
"Mt_tRNA","0","0","0","0","0","0","0"
"protein_coding","95","3778","3699","4679","1319","1427","2234"
"rRNA","0","0","0","0","0","0","0"
"scaRNA","0","1","0","3","0","0","0"
"snoRNA","0","66","62","74","65","1","0"
"snRNA","2","2","2","2","1","0","0"
"sRNA","0","0","0","0","0","0","0"
"Other","1","16","14","22","10","8","4"
